title,ingredients,instructions,ingredientsSimplified,ingredientsUnits
Slow Cooker Chicken and Dumplings,"[\""4 skinless\, boneless chicken breast halves \""\,\""2 tablespoons butter \""\,\""2 (10.75 ounce) cans condensed cream of chicken soup \""\,\""1 onion\, finely diced \""\,\""2 (10 ounce) packages refrigerated biscuit dough\, torn into pieces \""]","Place the chicken\, butter\, soup\, and onion in a slow cooker\, and fill with enough water to cover.\nCover\, and cook for 5 to 6 hours on High. About 30 minutes before serving\, place the torn biscuit dough in the slow cooker. Cook until the dough is no longer raw in the center.\n","skinless boneless chicken breast halves, butter, cream of chicken soup,  onion, biscuit mix","4, 2 tablespoons, 2 (10.75 ounce) cans, 1, 2 (10 ounce) packages"
Awesome Slow Cooker Pot Roast,"[\""2 (10.75 ounce) cans condensed cream of mushroom soup \""\,\""1 (1 ounce) package dry onion soup mix \""\,\""1 1/4 cups water \""\,\""5 1/2 pounds pot roast \""]","In a slow cooker\, mix cream of mushroom soup\, dry onion soup mix and water. Place pot roast in slow cooker and coat with soup mixture.\nCook on High setting for 3 to 4 hours\, or on Low setting for 8 to 9 hours.\n","condensed cream of mushroom soup, onion soup mix, water,  pot roast","2 (10.75 ounce) cans, 1 (1 ounce) package, 1 1/4 cups, 5 1/2 pounds"
Easy Irish Colcannon,"[\""2 pounds potatoes\, peeled and cubed \""\,\""1 head cabbage\, chopped \""\,\""1 bunch green onions\, chopped \""\,\""1/4 cup butter\, softened \""\,\""1/2 cup half-and-half cream \""\,\""salt and black pepper to taste \""]","Place the potatoes\, cabbage\, and green onions into a large sauce pan\, fill with water\, and bring to a boil. Reduce heat\, cover\, and simmer until the potatoes are tender\, about 20 minutes.\nDrain the vegetables and place into a large bowl. Mash the potatoes and vegetables with the butter using a fork until the mixture is chunky\, pouring in half-and-half gradually as you mash. Season with salt and pepper\, and serve.\n","potatoes, cabbage, green onions, butter, cream, salt, black pepper","2 pounds, 1 head, 1 bunch, 1/4 cup, 1/2 cup, to taste, to taste"
Zesty Slow Cooker Chicken Barbecue,"[\""6 frozen skinless\, boneless chicken breast halves \""\,\""1 (12 ounce) bottle barbeque sauce \""\,\""1/2 cup Italian salad dressing \""\,\""1/4 cup brown sugar \""\,\""2 tablespoons Worcestershire sauce \""]","Place chicken in a slow cooker. In a bowl\, mix the barbecue sauce\, Italian salad dressing\, brown sugar\, and Worcestershire sauce. Pour over the chicken.\nCover\, and cook 3 to 4 hours on High or 6 to 8 hours on Low.\n","skinless boneless chicken breast halves, barbeque sauce, salad dressing, brown sugar, Worcestershire sauce","6, 1 (12 ounce) bottle, 1/2 cup, 1/4 cup, 2 tablespoons"
Garlic Chicken,"[\""1/4 cup olive oil \""\,\""2 cloves garlic\, crushed \""\,\""1/4 cup Italian-seasoned bread crumbs \""\,\""1/4 cup grated Parmesan cheese \""\,\""4 skinless\, boneless chicken breast halves \""]","Preheat oven to 425 degrees F (220 degrees C).\nHeat olive oil and garlic in a small saucepan over low heat until warmed\, 1 to 2 minutes. Transfer garlic and oil to a shallow bowl.\nCombine bread crumbs and Parmesan cheese in a separate shallow bowl.\nDip chicken breasts in the olive oil-garlic mixture using tongs; transfer to bread crumb mixture and turn to evenly coat. Transfer coated chicken to a shallow baking dish.\nBake in the preheated oven until no longer pink and juices run clear\, 30 to 35 minutes. An instant-read thermometer inserted into the center should read at least 165 degrees F (74 degrees C).\n","olive oil, garlic, seasoned bread crumbs, Parmesan cheese, skinless boneless chicken breast halves","1/4 cup, 2 cloves, 1/4 cup, 1/4 cup, 4"
Salsa Chicken,"[\""4 skinless\, boneless chicken breast halves \""\,\""4 teaspoons taco seasoning mix \""\,\""1 cup salsa \""\,\""1 cup shredded Cheddar cheese \""\,\""2 tablespoons sour cream (optional) \""]","Preheat oven to 375 degrees F (190 degrees C)\nPlace chicken breasts in a lightly greased 9x13 inch baking dish. Sprinkle taco seasoning on both sides of chicken breasts\, and pour salsa over all.\nBake at 375 degrees F (190 degrees C) for 25 to 35 minutes\, or until chicken is tender and juicy and its juices run clear.\nSprinkle chicken evenly with cheese\, and continue baking for an additional 3 to 5 minutes\, or until cheese is melted and bubbly. Top with sour cream if desired\, and serve.\n","skinless boneless chicken breast halves, taco seasoning mix, salsa, shredded cheddar cheese, sour cream","4, 4 teaspoons, 1 cup, 1 cup, 2 tablespoons"
Quick and Easy Alfredo Sauce,"[\""1/2 cup butter \""\,\""1 (8 ounce) package cream cheese \""\,\""2 teaspoons garlic powder \""\,\""2 cups milk \""\,\""6 ounces grated Parmesan cheese \""\,\""1/8 teaspoon ground black pepper \""]","Melt butter in a medium\, non-stick saucepan over medium heat. Add cream cheese and garlic powder\, stirring with wire whisk until smooth. Add milk\, a little at a time\, whisking to smooth out lumps. Stir in Parmesan and pepper. Remove from heat when sauce reaches desired consistency. Sauce will thicken rapidly\, thin with milk if cooked too long. Toss with hot pasta to serve.\n","butter, cream cheese, garlic powder, milk, Parmesan cheese, black pepper","1/2 cup, 1 (8 ounce) package, 2 teaspoons, 2 cups, 6 ounces, 1/8 teaspoon"
Slow Cooker Pulled Pork,"[\""1 (2 pound) pork tenderloin \""\,\""1 (12 fluid ounce) can or bottle root beer \""\,\""1 (18 ounce) bottle your favorite barbecue sauce \""\,\""8 hamburger buns\, split and lightly toasted \""]","Place the pork tenderloin in a slow cooker; pour the root beer over the meat. Cover and cook on low until well cooked and the pork shreds easily\, 6 to 7 hours. Note: the actual length of time may vary according to individual slow cooker. Drain well. Stir in barbecue sauce. Serve over hamburger buns.\n","pork tenderloin,  root beer, barbecue sauce, hamburger buns","1 (2 pound), 1 (12 fluid ounce) can or bottle, 1 (18 ounce) bottle, 8"
Slow Cooker Beef Stroganoff I,"[\""1 pound cubed beef stew meat \""\,\""1 (10.75 ounce) can condensed golden mushroom soup \""\,\""1/2 cup chopped onion \""\,\""1 tablespoon Worcestershire sauce \""\,\""1/4 cup water \""\,\""4 ounces cream cheese \""]","In a slow cooker\, combine the meat\, soup\, onion\, Worcestershire sauce and water.\nCook on Low setting for 8 hours\, or on High setting for about 5 hours. Stir in cream cheese just before serving.\n","beef, golden mushroom soup, onion, Worcestershire sauce, water, cream cheese","1 pound, 1 (10.75 ounce) can, 1/2 cup, 1 tablespoon, 1/4 cup, 4 ounces"
Slow Cooker Chicken Stroganoff,"[\""4 skinless\, boneless chicken breast halves - cubed \""\,\""1/8 cup margarine \""\,\""1 (.7 ounce) package dry Italian-style salad dressing mix \""\,\""1 (8 ounce) package cream cheese \""\,\""1 (10.75 ounce) can condensed cream of chicken soup \""]","Put chicken\, margarine and dressing mix in slow cooker; mix together and cook on low for 5 to 6 hours.\nAdd cream cheese and soup\, mix together and cook on high for another 1/2 hour or until heated through and warm.\n","skinless boneless chicken breast halves, margarine, salad dressing mix, cream cheese, cream of chicken soup","4, 1/8 cup, 1 (.7 ounce) package, 1 (8 ounce) package, 1 (10.75 ounce) can"
Angel Chicken Pasta,"[\""6 skinless\, boneless chicken breast halves \""\,\""1/4 cup butter \""\,\""1 (.7 ounce) package dry Italian-style salad dressing mix \""\,\""1/2 cup white wine \""\,\""1 (10.75 ounce) can condensed golden mushroom soup \""\,\""4 ounces cream cheese with chives \""\,\""1 pound angel hair pasta \""]","Preheat oven to 325 degrees F (165 degrees C).\nIn a large saucepan\, melt butter over low heat. Stir in the package of dressing mix. Blend in wine and golden mushroom soup. Mix in cream cheese\, and stir until smooth. Heat through\, but do not boil. Arrange chicken breasts in a single layer in a 9x13 inch baking dish. Pour sauce over.\nBake for 60 minutes in the preheated oven. Twenty minutes before the chicken is done\, bring a large pot of lightly salted water to a rolling boil. Cook pasta until al dente\, about 5 minutes. Drain. Serve chicken and sauce over pasta.\n","skinless boneless chicken breast halves, butter, salad dressing mix, white wine, golden mushroom soup, cream cheese, angel hair pasta","6, 1/4 cup, 1 (.7 ounce) package, 1/2 cup, 1 (10.75 ounce) can, 4 ounces, 1 pound"
Awesome and Easy Creamy Corn Casserole,"[\""1/2 cup butter\, melted \""\,\""2 eggs\, beaten \""\,\""1 (8.5 ounce) package dry corn bread mix \""\,\""1 (15 ounce) can whole kernel corn\, drained \""\,\""1 (14.75 ounce) can creamed corn \""\,\""1 cup sour cream \""]","Preheat oven to 350 degrees F (175 degrees C)\, and lightly grease a 9x9 inch baking dish.\nIn a medium bowl\, combine butter\, eggs\, corn bread mix\, whole and creamed corn and sour cream. Spoon mixture into prepared dish.\nBake for 45 minutes in the preheated oven\, or until the top is golden brown.\n","butter, eggs, corn bread mix, corn kernels, creamed corn, sour cream","1/2 cup, 2, 1 (8.5 ounce) package, 1 (15 ounce) can, 1 (14.75 ounce) can, 1 cup"
Famous Butter Chicken,"[\""2 eggs\, beaten \""\,\""1 cup crushed buttery round cracker crumbs \""\,\""1/2 teaspoon garlic salt \""\,\""ground black pepper to taste \""\,\""4 skinless\, boneless chicken breast halves \""\,\""1/2 cup butter\, cut into pieces \""]","Preheat oven to 375 degrees F (190 degrees C).\nPlace eggs and cracker crumbs in two separate shallow bowls. Mix cracker crumbs with garlic salt and pepper. Dip chicken in the eggs\, then dredge in the crumb mixture to coat.\nArrange coated chicken in a 9x13 inch baking dish. Place pieces of butter around the chicken.\nBake in the preheated oven for 40 minutes\, or until chicken is no longer pink and juices run clear.\n","eggs, ritz crackers, garlic salt, black pepper, skinless boneless chicken breast halves, butter","2, 1 cup, 1/2 teaspoon, to taste, 4, 1/2 cup"
Amazing Pork Tenderloin in the Slow Cooker,"[\""1 (2 pound) pork tenderloin \""\,\""1 (1 ounce) envelope dry onion soup mix \""\,\""1 cup water \""\,\""3/4 cup red wine \""\,\""3 tablespoons minced garlic \""\,\""3 tablespoons soy sauce \""\,\""freshly ground black pepper to taste \""]","Place pork tenderloin in a slow cooker with the contents of the soup packet. Pour water\, wine\, and soy sauce over the top\, turning the pork to coat. Carefully spread garlic over the pork\, leaving as much on top of the roast during cooking as possible. Sprinkle with pepper\, cover\, and cook on low setting for 4 hours. Serve with cooking liquid on the side as au jus.\n","pork tenderloin, onion soup mix, water, red wine, garlic, soy sauce, black pepper","1 (2 pound), 1 (1 ounce) package, 1 cup, 3/4 cup, 3 tablespoons, 3 tablespoons, to taste"
Baked Garlic Parmesan Chicken,"[\""2 tablespoons olive oil \""\,\""1 clove garlic\, minced \""\,\""1 cup dry bread crumbs \""\,\""2/3 cup grated Parmesan cheese \""\,\""1 teaspoon dried basil leaves \""\,\""1/4 teaspoon ground black pepper \""\,\""6 skinless\, boneless chicken breast halves \""]","Preheat oven to 350 degrees F (175 degrees C). Lightly grease a 9x13 inch baking dish.\nIn a bowl\, blend the olive oil and garlic. In a separate bowl\, mix the bread crumbs\, Parmesan cheese\, basil\, and pepper. Dip each chicken breast in the oil mixture\, then in the bread crumb mixture. Arrange the coated chicken breasts in the prepared baking dish\, and top with any remaining bread crumb mixture.\nBake 30 minutes in the preheated oven\, or until chicken is no longer pink and juices run clear.\n","olive oil, garlic, bread crumbs, Parmesan cheese, dried basil, black pepper, skinless boneless chicken breast halves","2 tablespoons, 1 clove, 1 cup, 2/3 cup, 1 teaspoon, 1/4 teaspoon, 6"
Rempel Family Meatloaf,"[\""1 1/2 pounds lean ground beef \""\,\""1/2 cup crushed buttery round crackers \""\,\""3/4 cup shredded Cheddar cheese \""\,\""1 (1 ounce) package dry onion soup mix \""\,\""2 eggs\, beaten \""\,\""1/4 cup ketchup \""\,\""2 tablespoons steak sauce \""]","Preheat oven to 350 degrees F (175 degrees C).\nStir the ground beef\, crushed crackers\, Cheddar cheese\, and onion soup mix in a large bowl until well combined. Whisk the eggs\, ketchup\, and steak sauce in a separate bowl until smooth. Mix the eggs into the meat until evenly combined\, if the mixture seems too dry\, add a little water. Press into a 9x5 inch loaf pan.\nBake in preheated oven until the meatloaf reaches 160 degrees F (71 degrees C) and is no longer pink in the center\, 45 to 60 minutes.\n","ground beef, ritz crackers, shredded Cheddar cheese, onion soup mix, eggs, ketchup, barbeque sauce","1 1/2 pounds, 1/2 cup, 3/4 cup, 1 (1 ounce) package, 2, 1/4 cup, 2 tablespoons"
Marinated Baked Pork Chops,"[\""1 tablespoon soy sauce \""\,\""2 tablespoons vegetable oil \""\,\""1 tablespoon Worcestershire sauce \""\,\""1 teaspoon lemon juice \""\,\""2 tablespoons brown sugar \""\,\""2 tablespoons ketchup \""\,\""6 pork chops\, trimmed \""]","Preheat oven to 350 degrees F (175 degrees C).\nIn a small bowl\, thoroughly blend soy sauce\, vegetable oil\, Worcestershire sauce\, lemon juice\, brown sugar\, and ketchup.\nPlace pork chops in a medium baking dish\, and spread with 1/2 the sauce.\nBake pork chops 30 minutes in the preheated oven. Turn\, and spread with remaining sauce. Continue baking 30 minutes\, or until internal temperature of the chops has reached 145 degrees F (63 degrees C).\n","soy sauce, vegetable oil, Worcestershire sauce, lemon juice, brown sugar, ketchup, pork chops","1 tablespoon, 2 tablespoons, 1 tablespoon, 1 teaspoon, 2 tablespoons, 2 tablespoons, 6"
Mexican Rice II,"[\""3 tablespoons vegetable oil \""\,\""1 cup uncooked long-grain rice \""\,\""1 teaspoon garlic salt \""\,\""1/2 teaspoon ground cumin \""\,\""1/4 cup chopped onion \""\,\""1/2 cup tomato sauce \""\,\""2 cups chicken broth \""]","Heat oil in a large saucepan over medium heat and add rice. Cook\, stirring constantly\, until puffed and golden. While rice is cooking\, sprinkle with salt and cumin.\nStir in onions and cook until tender. Stir in tomato sauce and chicken broth; bring to a boil. Reduce heat to low\, cover and simmer for 20 to 25 minutes. Fluff with a fork.\n","vegetable oil, long-grain rice, garlic salt, ground cumin, onion, tomato sauce, chicken broth","3 tablespoons, 1 cup, 1 teaspoon, 1/2 teaspoon, 1/4 cup, 1/2 cup, 2 cups"
Baked Honey Mustard Chicken,"[\""6 skinless\, boneless chicken breast halves \""\,\""salt and pepper to taste \""\,\""1/2 cup honey \""\,\""1/2 cup prepared mustard \""\,\""1 teaspoon dried basil \""\,\""1 teaspoon paprika \""\,\""1/2 teaspoon dried parsley \""]","Preheat oven to 350 degrees F (175 degrees C).\nSprinkle chicken breasts with salt and pepper to taste\, and place in a lightly greased 9x13 inch baking dish. In a small bowl\, combine the honey\, mustard\, basil\, paprika\, and parsley. Mix well. Pour 1/2 of this mixture over the chicken\, and brush to cover.\nBake in the preheated oven for 30 minutes. Turn chicken pieces over and brush with the remaining 1/2 of the honey mustard mixture. Bake for an additional 10 to 15 minutes\, or until chicken is no longer pink and juices run clear. Let cool 10 minutes before serving.\n","skinless boneless chicken breast halves, salt, black pepper, honey, mustard, dried basil, paprika, dried parsley","6, to taste, to taste, 1/2 cup, 1/2 cup, 1 teaspoon, 1 teaspoon, 1/2 teaspoon"
Caramelized Baked Chicken,"[\""3 pounds chicken wings \""\,\""2 tablespoons olive oil \""\,\""1/2 cup soy sauce \""\,\""2 tablespoons ketchup \""\,\""1 cup honey \""\,\""1 clove garlic\, minced \""\,\""salt and pepper to taste \""]","Preheat oven to 375 degrees F (190 degrees C).\nPlace chicken in a 9x13 inch baking dish. Mix together the oil\, soy sauce\, ketchup\, honey\, garlic\, salt and pepper. Pour over the chicken.\nBake in preheated oven for one hour\, or until sauce is caramelized.\n","chicken wings, olive oil, soy sauce, ketchup, honey, garlic, salt, black pepper","3 pounds, 2 tablespoons, 1/2 cup, 2 tablespoons, 1 cup, 1 clove, to taste, to taste"
